event,date,paged,platform,des
Avatar: Frontiers of Pandora,2023,avatar-frontiers-of-pandora,PCPlayStation 5+ 2 moreStadiaXbox Series X,
The Lord of the Rings: Return to Moria,Q2 2023,the-lord-of-the-rings-return-to-moria,PC,
Stellar Blade,2023,stellar-blade,PCPlayStation 5,
Battlecry,Unknown Release Date,battlecry,PC,"Combining elements of third-person action and fast-paced shooting, BATTLECRY offers a new gameplay experience with team-based combat, intense tactical warfare and competitive multiplayer action."
Everwild,Unknown Release Date,everwild,PCXbox OneXbox Series X,
Ravenlok,2023,ravenlok,PCXbox OneXbox Series X,
Exoprimal,2023,exoprimal,PCPlayStation 4+ 3 morePlayStation 5Xbox OneXbox Series X,
DREDGE,"May 18, 2023",dredge,Nintendo SwitchPC+ 4 morePlayStation 4PlayStation 5Xbox OneXbox Series X,
Endless Dungeon,Unknown Release Date,endless-dungeon,Nintendo SwitchPC+ 4 morePlayStation 4PlayStation 5Xbox OneXbox Series X,
Balloon Pop 2,"Feb 10, 2023",balloon-pop-2,3DS,Balloon Pop 2 is a reinvented classic made by UFO Interactive specifically for the Nintendo 3DS.
TreasureNauts,"Jun 22, 2023",treasurenauts,Nintendo Switch,
Mononoke Forest,Unknown Release Date,mononoke-forest,3DS,
"Wild Hearts — February 17, 2023","Wild Hearts — February 17, 2023",,,
WWE 2K23,"March 23, 2023",,,
Minecraft: Legends,"April 18, 2023",,,
